"12817: Foreløpige tall for antall foretak, sysselsatte og omsetning, etter næring (SN2007), sysselsettingsgruppe, statistikkvariabel og år"

"næring (SN2007)";"sysselsettingsgruppe";"Omsetning (mill. kr) 2016";"Omsetning (mill. kr) 2017";"Omsetning (mill. kr) 2018";"Omsetning (mill. kr) 2019";"Omsetning (mill. kr) 2020";"Omsetning (mill. kr) 2021"
"C Industri";"I alt";771055.9;799277.5;835001.7;867266.6;843333.6;885480.0
"C Industri";"0-1 sysselsatte";.;.;.;.;.;.
"C Industri";"2-9 sysselsatte";.;.;.;.;.;.
"C Industri";"10-19 sysselsatte";.;.;.;.;.;42587.6
"C Industri";"20-49 sysselsatte";.;.;.;.;.;95192.1
"C Industri";"50-249 sysselsatte";.;.;.;.;.;272293.3
"C Industri";"250 eller flere sysselsatte";.;.;.;.;.;429028.6
"F Bygge- og anleggsvirksomhet";"I alt";521467.4;558377.4;599758.2;626851.8;627740.1;674761.0
"F Bygge- og anleggsvirksomhet";"0-1 sysselsatte";.;.;.;.;.;.
"F Bygge- og anleggsvirksomhet";"2-9 sysselsatte";.;.;.;.;.;.
"F Bygge- og anleggsvirksomhet";"10-19 sysselsatte";.;.;.;.;.;79382.7
"F Bygge- og anleggsvirksomhet";"20-49 sysselsatte";.;.;.;.;.;117910.7
"F Bygge- og anleggsvirksomhet";"50-249 sysselsatte";.;.;.;.;.;154107.2
"F Bygge- og anleggsvirksomhet";"250 eller flere sysselsatte";.;.;.;.;.;106997.2
"H Transport og lagring";"I alt";383721.2;392093.0;401204.4;422605.2;345397.1;397641.3
"H Transport og lagring";"0-1 sysselsatte";.;.;.;.;.;.
"H Transport og lagring";"2-9 sysselsatte";.;.;.;.;.;.
"H Transport og lagring";"10-19 sysselsatte";.;.;.;.;.;28951.0
"H Transport og lagring";"20-49 sysselsatte";.;.;.;.;.;34534.6
"H Transport og lagring";"50-249 sysselsatte";.;.;.;.;.;100127.1
"H Transport og lagring";"250 eller flere sysselsatte";.;.;.;.;.;77866.6
