"12440: Sykefravær for lønnstakere (prosent), etter kjønn, næring (SN2007), type sykefravær, kvartal og statistikkvariabel"

"kjønn";"næring (SN2007)";"type sykefravær";"kvartal";"Sykefraværsprosent"
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2000K2";6.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2000K3";5.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2000K4";6.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2001K1";7.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2001K2";6.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2001K3";6.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2001K4";7.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2002K1";7.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2002K2";7.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2002K3";6.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2002K4";7.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2003K1";8.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2003K2";7.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2003K3";6.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2003K4";8.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2004K1";8.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2004K2";6.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2004K3";5.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2004K4";6.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2005K1";6.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2005K2";6.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2005K3";5.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2005K4";6.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2006K1";7.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2006K2";6.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2006K3";5.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2006K4";6.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2007K1";7.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2007K2";6.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2007K3";5.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2007K4";6.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2008K1";7.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2008K2";6.5
